ds,y
2022-06-17,1.3885068
2022-06-18,0.14996009
2022-06-19,1.4811897
2022-06-20,7.242571
2022-06-21,1.9644194
2022-06-22,67.88622
2022-06-23,8.480149
2022-06-24,6.892407
2022-06-25,1.2696542
2022-06-26,0.35826287
2022-06-27,3.022063
2022-06-28,2.800319
2022-06-29,7.8258286
2022-06-30,3.5537415
2022-07-01,10.404054
2022-07-02,11.446727
2022-07-03,7.168262
2022-07-04,10.663476
2022-07-05,5.228495
2022-07-06,3.3027897
2022-07-07,9.402194
2022-07-08,5.422792
2022-07-09,5.5437074
2022-07-10,1.6039168
2022-07-11,1.7784462
2022-07-12,1.3057185
2022-07-13,3.947677
2022-07-14,0.8841967
2022-07-15,2.083631
2022-07-16,7.542034
2022-07-17,5.463983
2022-07-18,2.1514595
2022-07-19,2.8292491
2022-07-20,4.149902
2022-07-21,10.169343
2022-07-22,7.8163915
2022-07-23,2.5000896
2022-07-24,4.6025753
2022-07-25,0.39734086
2022-07-26,2.9277546
2022-07-27,2.9823673
2022-07-28,2.1946535
2022-07-29,2.1971366
2022-07-30,11.532052
2022-07-31,2.5229785
2022-08-01,2.0119956
2022-08-02,11.090543
2022-08-03,21.26609
2022-08-04,6.928738
2022-08-05,3.6673317
2022-08-06,1.1366992
2022-08-07,4.5961757
2022-08-08,0.04960969
2022-08-09,0.26583162
2022-08-10,0.24561493
2022-08-11,2.4830792
2022-08-12,3.3704586
2022-08-13,2.0905406
2022-08-14,0.2142421
2022-08-15,0.8803745
2022-08-16,0.23008573
2022-08-17,3.1040275
2022-08-18,0.61429566
2022-08-19,1.7449883
2022-08-20,0.9682856
2022-08-21,2.9934785
2022-08-22,4.8984785
2022-08-23,9.534698
2022-08-24,2.0873353
2022-08-25,1.1381198
2022-08-26,1.0483997
2022-08-27,5.6792583
2022-08-28,2.913906
2022-08-29,1.688899
2022-08-30,0.9011607
2022-08-31,2.7206142
2022-09-01,2.5412602
2022-09-02,2.7616434
2022-09-03,0.0051500895
2022-09-04,4.544636
2022-09-05,5.5745997
2022-09-06,4.4909043
2022-09-07,1.1867056
2022-09-08,1.171728
2022-09-09,0.73975486
2022-09-10,3.5255768
2022-09-11,2.0120919
2022-09-12,0.53030115
2022-09-13,0.98322827
2022-09-14,1.6217612
2022-09-15,1.1319501
2022-09-16,0.41258824
