ds,mean,max,p90,p95
2020-08-14,0.1396399,0.49116015,0.37600175,0.43188146
2020-08-15,0.5250424,1.0028518,0.89308435,0.9837909
2020-08-16,2.5624583,4.2310433,3.9071956,4.1735287
2020-08-17,1.883585,3.994645,3.5238206,3.8742418
2020-08-18,2.198283,4.1647267,3.3716717,3.5122633
2020-08-19,0.033107534,0.10671358,0.08504282,0.10151307
2020-08-20,1.5342137,3.1904478,2.670249,2.9979398
2020-08-21,2.9981499,4.0896225,3.8370984,4.0182776
2020-08-22,1.0074307,1.910198,1.4381999,1.6070722
2020-08-23,0.92784625,1.6406462,1.403667,1.5213978
2020-08-24,0.001459072,0.009924173,0.0049859285,0.0057414174
2020-08-25,0.21156792,0.76987594,0.63301253,0.71745926
2020-08-26,0.75120157,1.2435347,1.1208081,1.1651174
2020-08-27,0.038687404,0.15925914,0.13814345,0.15873703
2020-08-28,1.0024875,1.7699935,1.5983529,1.6890944
2020-08-29,2.4376643,3.3665874,3.0668519,3.087437
2020-08-30,1.8825669,3.003295,2.703297,2.9218833
2020-08-31,2.4569046,3.2123096,3.0164907,3.1088772
2020-09-01,5.4406414,7.1991906,6.9001203,7.060519
2020-09-02,4.2201395,5.8222113,5.674181,5.7520533
2020-09-03,3.1252043,5.2665505,4.6410046,5.1476636
2020-09-04,1.4474397,2.666753,2.3068583,2.523987
2020-09-05,0.41055882,0.7799537,0.61793506,0.6954932
2020-09-06,0.257858,0.59142375,0.45652655,0.52375686
2020-09-07,0.15069492,0.41109473,0.31160933,0.3590012
2020-09-08,0.061267707,0.22993907,0.1920905,0.22389852
2020-09-09,4.03437,5.849772,5.2668395,5.695495
2020-09-10,2.737091,3.6375074,3.5413795,3.5938776
2020-09-11,1.6956989,2.7960985,2.460773,2.5138621
2020-09-12,0.25699505,0.78986585,0.65669274,0.76852626
2020-09-13,0.18936409,0.4888922,0.4335396,0.48697832
2020-09-14,2.8158896,4.2147217,3.6563823,3.70203
2020-09-15,1.886928,3.0954921,2.5946484,2.6869273
2020-09-16,2.8475564,4.5876656,3.8897123,4.21143
2020-09-17,0.16475292,0.29795766,0.2505619,0.2854919
2020-09-18,1.7254235,2.5212214,2.3653998,2.434125
2020-09-19,1.414112,1.996968,1.7165754,1.9087878
2020-09-20,0.74808186,1.1573325,1.111735,1.1308193
2020-09-21,1.8039292,2.9368312,2.8634868,2.884633
2020-09-22,0.90166575,1.2451015,1.1107974,1.113574
2020-09-23,0.37799978,0.72671103,0.6904334,0.7135144
2020-09-24,0.71526164,1.3441331,1.2167652,1.2273068
2020-09-25,1.0264772,1.58441,1.3442776,1.4220765
2020-09-26,1.0678661,1.8625035,1.643629,1.84576
2020-09-27,0.54647154,1.4477402,1.1770971,1.3391224
2020-09-28,1.7522427,2.8595777,2.7465186,2.7839375
2020-09-29,0.5689447,1.2512515,1.119207,1.2137895
2020-09-30,0.6952929,1.075036,0.971625,0.9983059
2020-10-01,0.49085236,0.8293763,0.77358556,0.82674396
2020-10-02,1.6655723,2.5955215,2.3022146,2.4448574
2020-10-03,0.56523997,0.89164525,0.8052193,0.8492581
2020-10-04,1.137206,1.7247908,1.5642145,1.6879575
2020-10-05,1.1875483,1.6472489,1.5183936,1.6218616
2020-10-06,0.13282944,0.24259016,0.20373762,0.22834781
2020-10-07,0.94761485,1.1965297,1.1267685,1.1358887
2020-10-08,1.0007874,1.5991832,1.364156,1.457463
2020-10-09,1.0441859,1.4897203,1.3422114,1.3983755
2020-10-10,0.17574446,0.30906498,0.2664823,0.30308625
2020-10-11,0.33443105,0.66591203,0.5641423,0.6322157
2020-10-12,0.30181262,0.6883357,0.60548085,0.6762668
2020-10-13,0.32400388,0.5834952,0.4954785,0.5456798
2020-10-14,2.272256,3.6427975,3.0261257,3.106559
2020-10-15,2.0835052,2.7840583,2.616447,2.6536868
2020-10-16,0.69335103,1.315661,1.1780757,1.2953898
2020-10-17,1.1940554,2.220716,1.9687493,2.1223655
2020-10-18,0.25737906,0.6787814,0.5113162,0.6413372
2020-10-19,0.5047331,0.8324334,0.72595984,0.80525196
2020-10-20,0.56598055,1.0380819,0.886482,0.9531863
2020-10-21,2.4623487,3.4258766,3.0504394,3.201572
2020-10-22,2.4584148,4.0225253,3.2608206,3.6245487
2020-10-23,1.8355776,2.7395995,2.4360402,2.5524032
2020-10-24,0.8863554,1.1881814,1.1047969,1.1363655
2020-10-25,1.8955488,2.761639,2.174745,2.4042532
2020-10-26,0.37596872,0.74974746,0.64860135,0.7028358
2020-10-27,0.51715606,0.74236095,0.6467633,0.7224027
2020-10-28,0.65995353,1.0612755,0.89019644,1.0224682
2020-10-29,1.0194288,1.6159841,1.4201562,1.5179266
2020-10-30,3.0240545,4.0918427,3.789739,3.94438
2020-10-31,2.5311499,3.6506572,3.387629,3.4590335
2020-11-01,1.1272249,1.6199499,1.392556,1.5790504
2020-11-02,0.40734437,0.74785507,0.68839633,0.733549
2020-11-03,0.3648269,0.71846247,0.6250038,0.67996985
2020-11-04,0.35650113,0.8715019,0.71252716,0.8284117
2020-11-05,1.0754019,1.4903173,1.3692636,1.4111916
2020-11-06,3.2253716,4.3723965,3.956474,4.0322537
2020-11-07,3.4204652,4.494213,4.079939,4.1722913
2020-11-08,2.6974087,3.3757463,3.308287,3.3265586
2020-11-09,5.9050465,8.314239,7.7799697,8.007741
2020-11-10,3.067126,5.0105214,4.23891,4.5898995
2020-11-11,2.3060594,3.4656227,2.7737153,2.9760418
2020-11-12,2.3759472,3.891769,2.9756625,3.2070966
2020-11-13,1.3855861,2.3611925,2.0948205,2.149323
2020-11-14,1.790455,2.3540957,2.0733466,2.0891411
2020-11-15,0.6178805,1.1647627,0.9905112,1.07316
2020-11-16,1.6463171,2.2051635,2.1017585,2.1409883
2020-11-17,1.6651936,2.3049269,2.176116,2.2765212
2020-11-18,0.62511927,0.8675225,0.7802907,0.794466
2020-11-19,0.96787816,1.4219881,1.2261989,1.375635
2020-11-20,1.3957797,2.1992474,1.9858661,2.1541095
2020-11-21,0.58791524,0.8529529,0.76984465,0.8107616
2020-11-22,0.34083533,0.66009164,0.56348145,0.6461248
2020-11-23,0.9683378,1.4686286,1.4230232,1.4528047
2020-11-24,2.4224107,3.446844,3.3242326,3.4284153
2020-11-25,2.019947,3.2049756,2.4672356,2.5874536
2020-11-26,1.529198,2.3173988,2.1402643,2.26484
2020-11-27,1.4192171,2.1598787,1.8521025,2.023857
2020-11-28,0.7579636,1.3014182,1.1307441,1.2420014
2020-11-29,1.821972,2.5886855,2.3386164,2.3664567
2020-11-30,0.1740737,0.5073577,0.3613323,0.44904035
2020-12-01,1.9369305,3.5180674,2.5241039,2.7822542
2020-12-02,2.0158637,2.3673728,2.282754,2.3114731
2020-12-03,2.9231424,3.7800856,3.6590066,3.7452142
2020-12-04,2.1380732,2.5957062,2.4773443,2.4886246
2020-12-05,1.2680452,1.8749424,1.732463,1.7658252
2020-12-06,0.4255238,1.0628171,0.91225725,0.92249304
2020-12-07,0.27247986,0.6092787,0.43206364,0.4589593
2020-12-08,0.36252475,0.82174313,0.69521254,0.7868508
2020-12-09,0.6051269,1.8987783,1.4537714,1.6507425
2020-12-10,0.8057248,1.2334585,1.114678,1.1667166
2020-12-11,0.3717867,0.6969139,0.63063765,0.68125564
2020-12-12,0.9705717,2.539778,2.3136163,2.4487886
2020-12-13,3.2231703,4.218209,3.8761609,4.0005436
2020-12-14,1.256759,1.8121593,1.7187474,1.7260091
2020-12-15,2.3506083,3.1465847,2.8696876,2.9070363
2020-12-16,2.7170973,3.6881964,3.469484,3.6505558
2020-12-17,1.584562,2.0615342,1.8885796,1.9097509
2020-12-18,1.9944671,2.7016768,2.5023284,2.6599107
2020-12-19,1.2479936,2.0875373,1.8212299,1.927618
2020-12-20,0.5379101,1.194363,0.9782444,1.1269978
2020-12-21,0.972745,1.9048162,1.6168885,1.7367872
2020-12-22,0.85182023,1.6740711,1.5355058,1.6134607
2020-12-23,1.6214533,2.7069442,2.3836887,2.4238012
2020-12-24,1.623995,2.8853745,2.4728003,2.76934
2020-12-25,1.371451,1.9934303,1.7379733,1.8048427
2020-12-26,1.3494415,1.9052879,1.7194815,1.7607417
2020-12-27,2.0422163,2.9940002,2.7518802,2.8249056
2020-12-28,1.082842,1.6883641,1.5464448,1.6029162
2020-12-29,0.023796847,0.063088566,0.04789497,0.059498888
2020-12-30,2.611883,3.4771514,3.154505,3.1644528
2020-12-31,2.8633912,4.2636127,3.8426182,4.05503
2021-01-01,0.58820933,0.9153224,0.86231905,0.89797974
2021-01-02,0.34295177,0.9408854,0.7981819,0.8747844
2021-01-03,0.7347996,1.0032556,0.94953215,0.9658582
2021-01-04,2.168288,2.8297412,2.649642,2.769074
2021-01-05,0.5897501,1.0460682,0.93639827,1.0075799
2021-01-06,0.95180863,1.2943127,1.1966943,1.2221954
2021-01-07,0.948546,1.6011186,1.461742,1.5539278
2021-01-08,0.24875371,0.47589988,0.4472837,0.46421027
2021-01-09,0.31457832,0.6216129,0.5410288,0.56313044
2021-01-10,0.7854664,1.33745,1.0940173,1.1661038
2021-01-11,1.5381979,1.8459052,1.7700292,1.8105633
2021-01-12,1.9059788,2.3836553,2.2903247,2.3173027
2021-01-13,1.2040603,1.5325055,1.3243395,1.3828013
2021-01-14,1.9582357,3.5571263,2.9193037,3.3110423
2021-01-15,2.1508532,3.724996,3.3164403,3.5849438
2021-01-16,0.51945543,1.2413487,1.0218219,1.1358643
2021-01-17,3.1010144,4.5788436,4.3071084,4.4819136
2021-01-18,3.6977165,4.7639565,4.293517,4.582397
2021-01-19,2.5221992,3.4203753,2.8836734,3.0918584
2021-01-20,4.186642,5.712517,5.2048054,5.485048
2021-01-21,1.4558268,2.1592937,1.8670864,2.044263
2021-01-22,0.5706243,0.988517,0.85228723,0.92201287
2021-01-23,1.2377362,2.304758,1.9225873,2.234878
2021-01-24,2.7478988,3.6784635,3.3857155,3.5405083
2021-01-25,1.4470692,2.4271233,2.1164455,2.3046925
2021-01-26,3.5352046,4.2096586,4.1296854,4.159557
2021-01-27,4.2249856,5.8534203,5.1701293,5.649714
2021-01-28,2.2611763,2.7409046,2.646485,2.6750808
2021-01-29,2.3294516,3.244369,2.9527392,3.0791962
2021-01-30,1.453667,1.962403,1.9203572,1.9541767
2021-01-31,1.2464186,1.8608227,1.7123103,1.7572899
2021-02-01,1.0146929,1.9593685,1.6564966,1.9147512
2021-02-02,1.4772886,2.2584498,1.9133903,2.1490386
2021-02-03,0.8655729,1.271851,1.1950853,1.2005541
2021-02-04,1.1782063,1.6928903,1.5329252,1.6669004
2021-02-05,0.63027006,0.92421246,0.77634937,0.8439036
2021-02-06,0.11319683,0.3513323,0.22889572,0.23295483
2021-02-07,0.21969104,0.5079098,0.36383563,0.37804928
2021-02-08,0.4421564,0.7523596,0.71890724,0.7355394
2021-02-09,0.6231382,0.85821223,0.7981354,0.7995597
2021-02-10,2.5966082,3.6673732,3.2542455,3.3456986
2021-02-11,1.5825716,1.9803843,1.8673989,1.912194
2021-02-12,1.4404169,2.887919,2.0927372,2.7318301
2021-02-13,3.5542896,5.7468705,4.9040785,5.3677187
2021-02-14,2.0621421,3.148468,2.6691408,2.7893379
